"idade_local" "biome"
"1573" NA "Temperate"
"1574" NA "Temperate"
"1575" NA "Temperate"
"1576" NA "Temperate"
"1577" NA "Temperate"
"1578" NA "Temperate"
"1579" NA "Temperate"
"1580" NA "Temperate"
"1581" NA "Temperate"
"1582" NA "Temperate"
"1583" NA "Temperate"
"1584" NA "Temperate"
"1585" NA "Temperate"
"1586" NA "Temperate"
"1587" NA "Temperate"
"1588" NA "Temperate"
"1589" NA "Temperate"
"1590" NA "Temperate"
"1591" NA "Temperate"
"1592" NA "Temperate"
"1593" NA "Temperate"
"1594" NA "Temperate"
"1595" NA "Temperate"
"1596" NA "Temperate"
"1597" NA "Temperate"
"1598" NA "Temperate"
"1599" NA "Temperate"
"1600" NA "Temperate"
"1601" NA "Temperate"
"1602" NA "Temperate"
"1603" NA "Temperate"
"1604" NA "Temperate"
"1605" NA "Temperate"
"1606" NA "Temperate"
"1607" NA "Temperate"
"1608" NA "Temperate"
"1662" NA "Temperate"
"1663" NA "Temperate"
"1664" NA "Temperate"
"1665" NA "Temperate"
"1666" NA "Temperate"
"1667" NA "Temperate"
"1668" NA "Temperate"
"1669" NA "Temperate"
"1670" NA "Temperate"
"1671" NA "Temperate"
"1672" NA "Temperate"
"1673" NA "Temperate"
"1674" NA "Temperate"
"1675" NA "Temperate"
"1676" NA "Temperate"
"1677" NA "Temperate"
"1678" NA "Temperate"
"1679" NA "Temperate"
"1680" NA "Temperate"
"1681" NA "Temperate"
"1682" NA "Temperate"
"1683" NA "Temperate"
"1684" NA "Temperate"
"1685" NA "Temperate"
"1686" NA "Temperate"
"1687" NA "Temperate"
"1688" NA "Temperate"
"1689" NA "Temperate"
"1690" NA "Temperate"
"1691" NA "Temperate"
"1692" NA "Temperate"
"1693" NA "Temperate"
"1694" NA "Temperate"
"1695" NA "Temperate"
"1696" NA "Temperate"
"1697" NA "Temperate"
"1698" NA "Temperate"
"1699" NA "Temperate"
"1700" NA "Temperate"
"1701" NA "Temperate"
"1702" NA "Temperate"
"1703" NA "Temperate"
"1704" NA "Temperate"
"1705" NA "Temperate"
"1706" NA "Temperate"
"1707" NA "Temperate"
"1708" NA "Temperate"
"1709" NA "Temperate"
"1710" NA "Temperate"
"1711" NA "Temperate"
"1712" NA "Temperate"
"1713" NA "Temperate"
"1714" NA "Temperate"
"1715" NA "Temperate"
"1716" NA "Temperate"
"1756" NA "Temperate"
"1757" NA "Temperate"
"1758" NA "Temperate"
"1759" NA "Temperate"
"1760" NA "Temperate"
"1761" NA "Temperate"
"1762" NA "Temperate"
"1763" NA "Temperate"
"1764" NA "Temperate"
"1765" NA "Temperate"
"1766" NA "Temperate"
"1767" NA "Temperate"
"1768" NA "Temperate"
"1769" NA "Temperate"
"1770" NA "Temperate"
"1771" NA "Temperate"
"1772" NA "Temperate"
"1773" NA "Temperate"
"1774" NA "Temperate"
"1775" NA "Temperate"
"1776" NA "Temperate"
"1777" NA "Temperate"
"1778" NA "Temperate"
"1779" NA "Temperate"
"1780" NA "Temperate"
"1781" NA "Temperate"
"1782" NA "Temperate"
"1783" NA "Temperate"
"1784" NA "Temperate"
"1785" NA "Temperate"
"1786" NA "Temperate"
"1787" NA "Temperate"
"1788" NA "Temperate"
"1789" NA "Temperate"
"1790" NA "Temperate"
"1791" NA "Temperate"
"1792" NA "Temperate"
"1793" NA "Temperate"
"1794" NA "Temperate"
"1795" NA "Temperate"
"1796" NA "Temperate"
"1797" NA "Temperate"
"1798" NA "Temperate"
"1799" NA "Temperate"
"1800" NA "Temperate"
"1801" NA "Temperate"
"1802" NA "Temperate"
"1803" NA "Temperate"
"1804" NA "Temperate"
"1805" NA "Temperate"
"1806" NA "Temperate"
"1807" NA "Temperate"
"1808" NA "Temperate"
"1809" NA "Temperate"
"1810" NA "Temperate"
"1847" NA "Temperate"
"1848" NA "Temperate"
"1849" NA "Temperate"
"1850" NA "Temperate"
"1851" NA "Temperate"
"1852" NA "Temperate"
"1853" NA "Temperate"
"1854" NA "Temperate"
"1855" NA "Temperate"
"1856" NA "Temperate"
"1857" NA "Temperate"
"1858" NA "Temperate"
"1859" NA "Temperate"
"1860" NA "Temperate"
"1861" NA "Temperate"
"1862" NA "Temperate"
"1863" NA "Temperate"
"1864" NA "Temperate"
"1865" NA "Temperate"
"1866" NA "Temperate"
"1867" NA "Temperate"
"1868" NA "Temperate"
"1869" NA "Temperate"
"1870" NA "Temperate"
"1871" NA "Temperate"
"1872" NA "Temperate"
"1873" NA "Temperate"
"1874" NA "Temperate"
"1875" NA "Temperate"
"1876" NA "Temperate"
"1877" NA "Temperate"
"1878" NA "Temperate"
"1879" NA "Temperate"
"1880" NA "Temperate"
"1881" NA "Temperate"
"1882" NA "Temperate"
"1883" NA "Temperate"
"1884" NA "Temperate"
"1885" NA "Temperate"
"1886" NA "Temperate"
"1887" NA "Temperate"
"1888" NA "Temperate"
"1889" NA "Temperate"
"1890" NA "Temperate"
"1891" NA "Temperate"
"1892" NA "Temperate"
"1893" NA "Temperate"
"1894" NA "Temperate"
"1895" NA "Temperate"
"1896" NA "Temperate"
"1897" NA "Temperate"
"1898" NA "Temperate"
"1899" NA "Temperate"
"1900" NA "Temperate"
"1901" NA "Temperate"
"1902" NA "Temperate"
"1903" NA "Temperate"
"1904" NA "Temperate"
"1905" NA "Temperate"
"1906" NA "Temperate"
"1907" NA "Temperate"
"1908" NA "Temperate"
"1909" NA "Temperate"
