"","mean_age","NRI","local","coords.LON","coords.LAT"
"1001",1e-05,0,"temperate",-161.716552734375,69.1235961904251
"1002",1e-05,0,"temperate",-160.716552734375,69.1235961904251
"1003",1e-05,0,"temperate",-159.716552734375,69.1235961904251
"1004",1e-05,0,"temperate",-158.716552734375,69.1235961904251
"1005",1e-05,0,"temperate",-157.716552734375,69.123596190425
"1006",1e-05,0,"temperate",-156.716552734375,69.123596190425
"1007",1e-05,0,"temperate",-155.716552734375,69.1235961904251
"1008",1e-05,0,"temperate",-154.716552734375,69.1235961904251
"1009",1e-05,0,"temperate",-153.716552734375,69.1235961904251
"1010",1e-05,0,"temperate",-152.716552734375,69.1235961904251
"1011",1e-05,0,"temperate",-151.716552734375,69.1235961904251
"1012",1e-05,0,"temperate",-150.716552734375,69.123596190425
"1013",1e-05,0,"temperate",-149.716552734375,69.1235961904251
"1014",1e-05,0,"temperate",-148.716552734375,69.123596190425
"1015",1e-05,0,"temperate",-147.716552734375,69.123596190425
"1016",1e-05,0,"temperate",-146.716552734375,69.123596190425
"1017",1e-05,0,"temperate",-145.716552734375,69.123596190425
"1018",1e-05,0,"temperate",-144.716552734375,69.123596190425
"1019",1e-05,0,"temperate",-143.716552734375,69.123596190425
"1020",1e-05,0,"temperate",-142.716552734375,69.1235961904251
"1021",1e-05,0,"temperate",-141.716552734375,69.1235961904251
"1022",1e-05,0,"temperate",-140.719504874197,69.1183214992238
"1023",1e-05,0,"temperate",-139.725135203628,69.1025177185928
"1024",1e-05,0,"temperate",-138.756190386928,68.9846684699884
"1025",1e-05,0,"temperate",-137.754859834214,68.8426071623992
"1026",1e-05,0,"temperate",-135.570117052767,69.1153169684955
"1027",1e-05,0,"temperate",-134.728229113856,69.2248197408501
"1028",1e-05,0,"temperate",-133.705863109678,68.9973599206236
"1029",1e-05,0,"temperate",-132.743347387936,69.3832221216107
"1030",1e-05,0,"temperate",-131.680647217181,69.0014362124576
"1031",1e-05,0,"temperate",-130.688616197818,69.0640597846907
"1032",1e-05,0,"temperate",-129.716552734375,69.1235961904251
"1033",1e-05,0,"temperate",-128.716552734375,69.1235961904251
"1111",1e-05,0,"temperate",-165.675986548144,68.362782481522
"1112",1e-05,0,"temperate",-164.680321408883,68.2106696118938
"1113",1e-05,0,"temperate",-163.716236621284,68.1239431729288
"1114",1e-05,2.50440757938002,"temperate",-162.716552734375,68.1235961903804
"1115",1e-05,2.50440757938002,"temperate",-161.716552734375,68.1235961903804
"1116",1e-05,2.50440757938002,"temperate",-160.716552734375,68.1235961903805
"1117",1e-05,2.50440757938002,"temperate",-159.716552734375,68.1235961903805
"1118",1e-05,2.50440757938002,"temperate",-158.716552734375,68.1235961903804
"1119",1e-05,2.50440757938002,"temperate",-157.716552734375,68.1235961903804
"1120",1e-05,2.50440757938002,"temperate",-156.716552734375,68.1235961903804
"1121",1e-05,2.50440757938002,"temperate",-155.716552734375,68.1235961903805
"1122",1e-05,3.86584288458641,"temperate",-154.716552734375,68.1235961903805
"1123",1e-05,5.16250727024299,"temperate",-153.716552734375,68.1235961903804
"1124",1e-05,5.16250727024299,"temperate",-152.716552734375,68.1235961903805
"1125",1e-05,5.80684348599053,"temperate",-151.716552734375,68.1235961903805
"1126",1e-05,4.75741355199983,"temperate",-150.716552734375,68.1235961903804
"1127",1e-05,4.75741355199983,"temperate",-149.716552734375,68.1235961903804
"1128",1e-05,3.54705525213879,"temperate",-148.716552734375,68.1235961903804
"1129",1e-05,3.54705525213879,"temperate",-147.716552734375,68.1235961903804
"1130",1e-05,3.54705525213879,"temperate",-146.716552734375,68.1235961903804
"1131",1e-05,2.26163171514746,"temperate",-145.716552734375,68.1235961903804
"1132",1e-05,2.26163171514746,"temperate",-144.716552734375,68.1235961903804
"1133",1e-05,2.26163171514746,"temperate",-143.716552734375,68.1235961903804
"1134",1e-05,0,"temperate",-142.716552734375,68.1235961903804
"1135",1e-05,0,"temperate",-141.716552734375,68.1235961903805
"1136",1e-05,0,"temperate",-140.716552734375,68.1235961903804
